data1,data2,output
-8.474,-5.518,1
5.598,1.497,1
-1.232,-6.61,1
4.469,5.645,1
9.56,7.14,1
0.77,-9.327,1
0.022,0.653,0
-8.559,5.939,0
-4.631,9.503,0
-0.002,-4.515,0
3.585,-6.618,0
6.075,7.534,1
-2.381,8.184,0
-8.681,-6.049,1
-4.237,-1.169,0
8.192,4.385,1
-5.732,6.907,0
-0.958,-6.634,1
8.624,3.299,1
-9.502,6.157,1
2.011,0.994,0
9.003,-6.706,0
-5.394,-9.289,1
0.97,-4.369,0
8.183,6.157,1
-7.337,-9.105,1
0.468,-9.836,1
5.008,-2.768,0
3.38,-8.728,0
-0.645,-7.01,1
-5.903,-9.536,1
-0.185,0.494,0
-2.552,3.934,0
-0.452,-1.459,0
-2.682,-7.309,1
6.758,-3.373,0
5.373,1.807,1
-3.72,8.813,0
1.453,9.851,1
-4.479,-5.168,1
-0.943,-9.788,1
-2.94,6.613,0
3.148,8.532,1
-2.593,-0.828,0
-0.818,5.429,0
4.386,7.324,1
-1.74,2.192,0
8.128,7.453,1
-6.391,-9.522,1
4.822,-4.568,0
-1.553,-4.456,0
-1.471,-7.587,1
2.688,8.214,1
0.458,-9.391,1
-1.702,3.451,0
-9.971,-8.573,1
-8.155,-2.784,1
4.188,-1.638,0
0.487,-6.372,0
3.923,0.42,0
9.109,0.7,1
3.658,-3.659,0
-8.937,4.742,1
-3.823,-6.796,1
1.852,-6.15,0
-5.298,-2.91,1
9.299,-2.432,1
8.901,-5.874,0
6.968,8.374,1
-0.554,6.562,0
6.83,-7.862,0
-7.378,-2.61,1
-3.825,-5.347,1
-0.74,-0.978,0
4.837,-4.474,0
-0.283,0.036,0
-7.262,8.452,0
-3.129,-2.35,0
-3.511,3.003,0
-3.992,1.912,0
-6.69,5.039,0
-1.702,-8.767,1
-1.038,4.896,0
5.498,8.926,1
5.928,2.071,1
0.448,-4.248,0
-0.787,3.447,0
5.564,4.241,1
7.746,3.129,1
3.498,-7.061,0
6.01,9.47,1
8.782,9.108,1
-9.187,-1.507,1
7.513,1.873,1
-4.469,-9.207,1
-0.485,9.773,1
5.935,6.375,1
4.345,2.73,1
-7.057,5.222,0
3.175,-6.239,0
-8.615,-3.847,1
-2.859,-5.072,1
6.257,1.921,1
-1.446,-8.162,1
1.997,7.912,1
4.563,-0.754,0
6.425,-1.104,0
5.21,-7.906,0
-9.857,3.698,1
-1.595,6.338,0
-0.737,2.591,0
-8.89,-5.16,1
0.829,5.708,0
2.155,-7.086,0
6.569,6.546,1
8.836,1.614,1
-7.437,-4.213,1
-5.391,0.265,0
3.183,2.577,0
-7.351,-4.828,1
