Age,Experience,Salary
28,1,39896
41,5,53638
36,20,80516
32,1,46046
29,12,61629
42,10,63982
28,10,58826
47,15,81974
40,10,61933
44,18,81598
32,14,64980
32,24,84056
45,22,94834
42,22,84691
25,15,65640
29,10,60485
45,21,86305
24,15,63210
43,7,59157
42,3,54879
23,7,51123
45,3,52634
33,23,85626
27,24,81426
23,2,38930
49,2,61161
42,17,83682
22,18,64750
33,18,74483
47,20,89892
43,4,53109
33,17,75109
46,9,71984
38,21,85155
48,20,88673
48,5,60146
31,0,44875
49,4,56576
49,8,66474
37,11,62725
36,13,65563
36,1,50912
40,16,77597
33,13,71058
44,12,74299
41,8,63159
46,24,96744
24,14,57916
26,24,79533
40,21,86263
28,14,60983
42,23,94286
30,10,58288
28,15,66367
39,16,79615
25,3,40039
46,0,55257
49,7,71209
35,16,74704
39,2,51370
47,19,90670
30,14,63743
47,14,76947
42,23,89196
23,21,70528
41,13,67263
49,22,92212
36,13,73568
49,23,96981
28,1,40117
33,12,65841
29,13,68033
36,23,84520
24,18,73905
35,6,59677
38,2,51347
25,14,66482
39,22,81951
29,13,65618
25,10,53199
23,14,63882
27,12,63983
43,17,76467
31,5,49324
25,2,43864
43,18,77439
39,14,69259
47,24,93791
33,22,78155
23,4,48228
31,9,61969
25,6,45945
35,24,89040
37,16,78358
36,6,57282
29,21,74284
35,11,61475
44,24,90856
49,16,84567
46,12,71644
29,19,79681
42,24,88052
37,3,55357
34,9,60683
39,2,49861
36,8,64705
42,12,69289
45,17,86149
47,14,81192
46,3,54730
49,14,74508
49,21,86857
49,1,51549
34,14,64321
30,7,57701
36,7,53894
34,16,68414
22,11,58394
46,18,84204
28,9,59267
30,8,55009
45,4,60629
22,5,41860
33,19,73916
29,1,41288
45,23,96591
32,12,62827
40,5,56780
38,4,50827
29,24,81406
24,0,37390
24,20,68906
22,21,77079
48,20,87865
26,5,49957
31,5,46811
28,22,79444
47,15,83053
30,3,44820
49,10,76124
28,23,85546
30,22,82336
29,8,56328
33,22,78402
23,2,44644
22,18,70705
37,7,53808
44,4,53756
44,3,53071
45,23,96245
26,5,52479
24,1,37853
33,19,79325
29,10,54805
43,3,56645
48,14,75112
24,5,46303
22,21,75663
24,16,70865
26,23,80931
36,5,59033
35,18,82139
24,24,77194
22,1,42561
26,14,63832
47,10,69264
44,7,58729
35,18,75108
28,12,64704
48,11,71591
30,4,50595
36,5,58531
36,21,78725
47,3,59427
31,18,69551
49,19,83424
34,0,43748
40,19,79565
28,16,65525
38,11,63146
41,14,68863
25,0,37849
26,13,59578
44,5,57755
28,4,50721
34,10,60914
36,3,49016
32,12,67619
25,10,53363
34,2,52144
28,0,39556
48,5,62743
40,17,78155
43,23,93412
49,9,68424
